space_group,band_gap,density,density_atomic,formation_energy_per_atom,e_total,e_ionic,e_electronic,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,cluster
14,3.4068000000000005,3.8497118167486346,13.158463925197944,-1.816289400260416,10.803390756666666,7.646840936666666,3.15654982,8.0,34.0,26.0,14.333333333333334,66.0,176.0,110.0,93.33333333333331,1.0,3.44,2.44,2.885,4
2,1.6567,2.977987927380984,31.93685298870878,-0.6567948458593751,8.27345702,4.343693063333332,3.929763956666667,16.0,55.0,39.0,25.75,105.0,244.0,139.0,139.75,0.79,2.58,1.79,2.1325000000000003,4
31,1.0437,4.546701253147711,24.22645372806196,-0.8110572023958325,10.06880723,3.6799408266666656,6.388866403333334,16.0,48.0,32.0,29.75,105.0,145.0,40.0,121.875,1.69,2.58,0.8900000000000001,2.18,4
31,5.9817,3.548292507234951,17.354439384324582,-3.431801734166668,7.429377996666666,5.057804083333333,2.3715739133333327,5.0,56.0,51.0,16.285714285714285,57.0,215.0,158.0,89.85714285714286,0.89,3.98,3.09,3.144285714285714,4
8,4.4498,3.198351926040031,12.73865318323666,-3.3806564229166662,11.396359543333332,8.214873046666666,3.181486496666667,5.0,39.0,34.0,11.88888888888889,66.0,190.0,124.0,100.33333333333331,1.0,3.44,2.44,2.541111111111111,4
33,1.4897999999999998,4.127469399738462,23.38229656449701,-0.1804781169841263,11.748139866666667,2.0874348166666667,9.66070505,15.0,48.0,33.0,26.0,107.0,144.0,37.0,119.33333333333331,1.69,2.19,0.5,2.023333333333333,4
62,0.3329999999999997,3.993175657206869,24.63709552026692,-1.0039367317857142,22.11310156,10.220943906666667,11.892157653333332,20.0,33.0,13.0,27.142857142857142,119.0,176.0,57.0,143.85714285714286,1.0,2.18,1.1800000000000002,1.6214285714285717,4
63,2.3482000000000003,4.777707091758406,12.152392513381576,-2.282657243829364,9.23005949333333,6.012303379999999,3.217756113333333,8.0,49.0,41.0,16.0,66.0,142.0,76.0,85.5,1.78,3.44,1.66,2.955,4
82,3.0605,3.0505040656287896,23.24096820697073,-0.0822640785267856,4.845209101950562,1.4036450496243649,3.4415640523261986,6.0,48.0,42.0,19.0,71.0,144.0,73.0,95.28571428571428,1.65,3.04,1.39,2.564285714285714,4
9,3.4490000000000003,3.406176884268524,11.207515008417518,-1.929446238586208,85.91779587,82.79710140666667,3.120694463333333,6.0,25.0,19.0,11.0,66.0,139.0,73.0,82.6,1.55,3.44,1.89,2.884,4
14,1.3634000000000004,6.649785381672017,23.93454027276308,-0.8945367399999995,7.630416636666666,0.4161305833333333,7.214286053333332,16.0,75.0,59.0,40.5,105.0,151.0,46.0,124.125,1.9,2.96,1.06,2.3725,4
4,3.8018,3.2772554990800584,33.52969160187654,-1.6758366310714297,5.965106453333334,3.2128311666666662,2.7522752866666664,19.0,35.0,16.0,29.714285714285715,120.0,203.0,83.0,144.0,0.82,2.96,2.14,2.1614285714285715,4
20,1.2916999999999998,3.019339991614611,11.260196375113518,-2.335929150208334,8.696337463333332,4.934267426666666,3.762070036666666,3.0,27.0,24.0,9.75,66.0,128.0,62.0,95.875,0.98,3.44,2.46,2.40125,4
99,0.9043,7.312612163628576,14.243135136428569,-2.190646595833333,18.58516765,12.400560566666664,6.184607083333333,8.0,83.0,75.0,26.6,66.0,160.0,94.0,97.4,1.54,3.44,1.9,2.787,4
40,1.7478,4.85671167158311,32.1230377111786,-0.9020147852864576,13.27241591,8.47425742,4.79815849,19.0,73.0,54.0,40.25,120.0,203.0,83.0,142.875,0.82,2.55,1.73,2.0475,4
11,3.1071,3.400271368383153,16.681411068887538,-1.4923550504166665,9.068314510000002,6.638688590000001,2.4296259200000003,1.0,37.0,36.0,15.333333333333334,31.0,220.0,189.0,105.66666666666669,0.82,3.44,2.62,2.1533333333333333,4
11,3.7034,4.092201674142901,20.47875811496929,-2.2899797975862075,9.731787406666664,6.733943036666666,2.99784437,8.0,55.0,47.0,22.0,66.0,244.0,178.0,133.875,0.79,3.44,2.65,2.2375,4
12,0.5262000000000002,6.622904931039951,24.93712110612985,-0.5982870760185198,211.12634425666667,196.76096887333333,14.365375383333337,16.0,83.0,67.0,41.77777777777778,105.0,148.0,43.0,123.77777777777776,1.93,2.58,0.6500000000000001,2.321111111111111,4
88,2.1932,2.923454993365975,20.688684766042265,-0.9270947363333344,5.899325446666666,3.0414028933333337,2.857922553333333,1.0,81.0,80.0,16.0,31.0,145.0,114.0,74.8,1.62,3.16,1.54,2.6100000000000003,4
33,0.6240999999999999,5.484310872083083,35.591238309078335,-1.0869845000925933,16.987716886666664,5.766797903333333,11.220918983333334,32.0,56.0,24.0,48.44444444444444,120.0,215.0,95.0,151.11111111111111,0.89,2.1,1.21,1.8111111111111111,4
19,5.2019,1.507857640810991,10.23534494338961,-0.6481935150000003,10.217659633333332,7.637253816666667,2.580405816666666,1.0,17.0,16.0,4.833333333333333,31.0,102.0,71.0,53.583333333333336,2.2,3.44,1.2399999999999998,2.6225,4
1,3.157,3.066022288974896,18.01685329451994,-2.923795299722221,11.33355776,7.435459403333335,3.898098356666667,8.0,52.0,44.0,15.166666666666666,66.0,160.0,94.0,95.5,1.54,3.44,1.9,2.853333333333333,4
23,2.276,1.994541415192164,23.59489489839235,-0.6447311889682528,4.060339379999938,0.7967307033332869,3.263608676666652,5.0,16.0,11.0,14.0,84.0,107.0,23.0,101.83333333333331,2.04,2.58,0.54,2.4250000000000003,4
58,0.4791999999999996,6.197070793396386,14.560479521543114,-0.6742735869841283,32.01328725333334,12.156010093333334,19.85727716000001,15.0,44.0,29.0,24.666666666666668,107.0,146.0,39.0,120.0,2.19,2.2,0.0100000000000002,2.1933333333333334,4
